model,dataset,class,precision,recall,f1,support
CNN,baseline,Cargo,0.5722543352601156,0.61875,0.5945945945945946,320
CNN,baseline,Passengership,0.4016393442622951,0.3081761006289308,0.3487544483985765,159
CNN,baseline,Tanker,0.4281609195402299,0.5912698412698413,0.49666666666666665,252
CNN,baseline,Tug,0.5454545454545454,0.0625,0.11214953271028037,96
ResNet-lite,baseline,Cargo,0.718978102189781,0.615625,0.6632996632996633,320
ResNet-lite,baseline,Passengership,0.6049382716049383,0.3081761006289308,0.4083333333333333,159
ResNet-lite,baseline,Tanker,0.4701670644391408,0.7817460317460317,0.587183308494784,252
ResNet-lite,baseline,Tug,0.4339622641509434,0.23958333333333334,0.3087248322147651,96
CRNN,baseline,Cargo,0.59,0.7375,0.6555555555555556,320
CRNN,baseline,Passengership,0.6346153846153846,0.41509433962264153,0.5019011406844106,159
CRNN,baseline,Tanker,0.6320346320346321,0.5793650793650794,0.6045548654244306,252
CRNN,baseline,Tug,0.358695652173913,0.34375,0.35106382978723405,96
Transformer,baseline,Cargo,0.33737864077669905,0.434375,0.3797814207650273,320
Transformer,baseline,Passengership,0.3617021276595745,0.32075471698113206,0.34,159
Transformer,baseline,Tanker,0.33519553072625696,0.23809523809523808,0.27842227378190254,252
Transformer,baseline,Tug,0.21052631578947367,0.20833333333333334,0.2094240837696335,96
CNN,augmented,Cargo,0.668859649122807,0.4765625,0.5565693430656934,640
CNN,augmented,Passengership,0.36140350877192984,0.6477987421383647,0.46396396396396394,318
CNN,augmented,Tanker,0.5864864864864865,0.4305555555555556,0.4965675057208238,504
CNN,augmented,Tug,0.13565891472868216,0.18229166666666666,0.15555555555555556,192
ResNet-lite,augmented,Cargo,0.5307328605200946,0.7015625,0.604306864064603,640
ResNet-lite,augmented,Passengership,0.6544502617801047,0.39308176100628933,0.4911591355599214,318
ResNet-lite,augmented,Tanker,0.5654205607476636,0.4801587301587302,0.51931330472103,504
ResNet-lite,augmented,Tug,0.18518518518518517,0.18229166666666666,0.1837270341207349,192
CRNN,augmented,Cargo,0.5364963503649635,0.6890625,0.6032831737346102,640
CRNN,augmented,Passengership,0.7159763313609467,0.3805031446540881,0.49691991786447637,318
CRNN,augmented,Tanker,0.547085201793722,0.48412698412698413,0.5136842105263157,504
CRNN,augmented,Tug,0.16129032258064516,0.18229166666666666,0.17114914425427874,192
Transformer,augmented,Cargo,0.3645374449339207,0.5171875,0.42764857881136953,640
Transformer,augmented,Passengership,0.5590551181102362,0.44654088050314467,0.4965034965034965,318
Transformer,augmented,Tanker,0.1527777777777778,0.06547619047619048,0.09166666666666666,504
Transformer,augmented,Tug,0.03260869565217391,0.046875,0.038461538461538464,192
Ensemble,baseline,Cargo,0.5879120879120879,0.66875,0.6257309941520468,320
Ensemble,baseline,Passengership,0.5753424657534246,0.2641509433962264,0.3620689655172414,159
Ensemble,baseline,Tanker,0.5196629213483146,0.7341269841269841,0.6085526315789473,252
Ensemble,baseline,Tug,0.5,0.17708333333333334,0.26153846153846155,96
Ensemble,augmented,Cargo,0.5251716247139588,0.7171875,0.6063408190224571,640
Ensemble,augmented,Passengership,0.7623762376237624,0.48427672955974843,0.5923076923076923,318
Ensemble,augmented,Tanker,0.5974683544303797,0.46825396825396826,0.525027808676307,504
Ensemble,augmented,Tug,0.09289617486338798,0.08854166666666667,0.09066666666666667,192
