model,dataset,accuracy,macro_f1,roc_auc
CNN,baseline,0.4860943168077388,0.38804131059252955,0.6894527445963493
ResNet-lite,baseline,0.5634824667472793,0.49188528433563644,0.7247281577467823
CRNN,baseline,0.5816203143893591,0.5282688478629077,0.7478298377025547
Transformer,baseline,0.3264812575574365,0.3019069445791408,0.6221404265640748
CNN,augmented,0.46130592503022977,0.4181640920765092,0.7388242861620413
ResNet-lite,augmented,0.5145102781136639,0.44962658461657234,0.7402596492114546
CRNN,augmented,0.5084643288996372,0.44625911159492027,0.6994754928928055
Transformer,augmented,0.31136638452237003,0.2635700701107678,0.6028412110863952
Ensemble,baseline,0.5538089480048367,0.46447276319667424,0.7912971331457002
Ensemble,augmented,0.5235792019347038,0.4535857466682807,0.7207231961239661
