label,n_components,bic,aic,log_likelihood
15,2,170318.1847,170273.1876,-1.422654
15,3,170313.4398,170241.4443,-1.422338
15,5,170406.0023,170280.0103,-1.42256
27,2,178323.9878,178278.7557,-1.421148
27,3,173101.9729,173029.6014,-1.379254
27,5,173518.5743,173391.9242,-1.382047
38,2,178550.3028,178505.0707,-1.422952
38,3,178330.9905,178258.619,-1.420939
38,5,178384.6133,178257.9632,-1.420838
41,2,166688.7573,166643.8682,-1.422762
41,3,166432.4522,166360.6298,-1.420292
41,5,166512.2792,166386.5899,-1.420411
44,2,148329.0557,148283.7225,-1.158388
44,3,148714.8299,148642.2968,-1.161143
44,5,147477.5384,147350.6055,-1.150958
62,2,164512.0504,164466.7675,-1.297796
62,3,164738.3123,164665.8596,-1.29932
62,5,164650.7858,164523.9936,-1.298106
69,2,167439.6684,167394.7522,-1.421406
69,3,163626.6121,163554.7461,-1.388746
69,5,163853.0697,163727.3041,-1.39011
78,2,176701.4751,176656.2942,-1.422731
78,3,176420.5019,176348.2125,-1.420201
78,5,176513.5477,176387.0412,-1.420418
96,2,181191.517,181146.2089,-1.422238
96,3,180515.9231,180443.4301,-1.416673
96,5,180528.5283,180401.6655,-1.416251
99,2,169212.1408,169167.1704,-1.421011
99,3,165500.8291,165428.8766,-1.389557
99,5,165826.0163,165700.0994,-1.391735
1,2,33737.5355,33700.6393,-1.422747
1,3,33749.4303,33690.3964,-1.422061
1,5,33802.2515,33698.9422,-1.421915
4,2,185778.7585,185733.3263,-1.422513
4,3,185731.5524,185658.8608,-1.421897
4,5,185864.456,185737.2458,-1.422405
5,2,12787.1632,12755.1263,-1.422447
5,3,12796.3843,12745.1253,-1.420661
5,5,12843.9271,12754.2238,-1.420337
6,2,27362.3669,27326.5193,-1.422735
6,3,27369.3343,27311.9781,-1.421666
6,5,27429.0409,27328.6677,-1.42191
8,2,10947.3452,10916.0791,-1.420062
8,3,10822.3982,10772.3724,-1.400569
8,5,10828.5458,10741.0006,-1.394922
9,2,10048.1322,10017.3011,-1.421492
9,3,10068.1352,10018.8055,-1.420853
9,5,10118.8832,10032.5562,-1.421102
12,2,15977.6859,15944.3924,-1.383194
12,3,15912.7532,15859.4837,-1.375302
12,5,15984.2792,15891.0575,-1.377002
14,2,43749.2069,43711.0093,-1.422559
14,3,43786.5181,43725.402,-1.422832
14,5,43858.2703,43751.317,-1.423285
16,2,10049.01,10018.1789,-1.421616
16,3,10077.029,10027.6993,-1.422116
16,5,10131.9512,10045.6241,-1.422958
17,2,23716.4242,23681.2921,-1.422554
17,3,23728.1109,23671.8996,-1.421629
17,5,23764.2592,23665.8893,-1.420546
2,2,136446.2886,136402.3938,-1.420754
2,3,131827.7555,131757.5238,-1.372308
2,5,132050.7025,131927.7971,-1.373956
5,2,42775.819,42737.7267,-1.42047
5,3,42111.9435,42050.9957,-1.39744
5,5,41842.959,41736.3005,-1.386579
6,2,148854.7871,148810.208,-1.351746
6,3,149003.0293,148931.7027,-1.352795
6,5,148769.9259,148645.1044,-1.350083
8,2,40117.5635,40079.801,-1.422933
8,3,40143.0983,40082.6782,-1.422822
8,5,40155.9382,40050.203,-1.421243
9,2,16436.3541,16403.0606,-1.423009
9,3,16443.5646,16390.295,-1.42138
9,5,16509.2991,16416.0774,-1.422576
10,2,26096.5583,26060.7107,-1.356808
10,3,25837.8142,25780.4581,-1.341899
10,5,25935.4775,25835.1042,-1.34412
12,2,30095.4512,30059.127,-1.422781
12,3,30055.7743,29997.6557,-1.419586
12,5,30133.9006,30032.193,-1.420653
13,2,101633.9905,101589.8676,-1.010946
13,3,101728.6821,101658.0856,-1.011565
13,5,100568.8974,100445.3535,-0.999377
14,2,22810.0084,22775.0725,-1.422817
14,3,22792.6838,22736.7862,-1.420049
14,5,22850.8762,22753.0554,-1.420316
18,2,60127.5435,60087.7536,-1.422295
18,3,60149.1368,60085.473,-1.422099
18,5,60255.6013,60144.1897,-1.423205
9,2,161841.5119,161796.1042,-1.245275
9,3,162465.2694,162392.6172,-1.24982
9,5,161967.6409,161840.4996,-1.245478
40,2,182103.7911,182058.4579,-1.422254
40,3,181355.4034,181282.8703,-1.416147
40,5,181361.7348,181234.8019,-1.415678
49,2,172759.8928,172714.8161,-1.42027
49,3,169128.234,169056.1112,-1.390132
49,5,169347.6424,169221.4276,-1.391393
