label,ks_stat,ks_p,sw_stat,sw_p,kurtosis,skewness,nature
15,0.009023,0.000117,0.994328,0.0,0.4225,-0.0078,Near-Gaussian
27,0.044717,0.0,0.999029,0.005567,2.2202,-0.0184,Near-Gaussian
38,0.011188,0.0,0.997387,0.0,0.681,0.0181,Near-Gaussian
41,0.011677,0.0,0.998566,0.000184,0.5217,-0.0044,Near-Gaussian
44,0.131746,0.0,0.998543,0.000157,9.1022,-0.045,Non-Gaussian
62,0.081244,0.0,0.994317,0.0,5.9711,-0.0261,Non-Gaussian
69,0.042798,0.0,0.996364,0.0,1.7598,0.0066,Near-Gaussian
78,0.014353,0.0,0.99875,0.000685,0.5504,-0.0075,Near-Gaussian
96,0.017137,0.0,0.989131,0.0,1.0033,0.0031,Near-Gaussian
99,0.039943,0.0,0.993657,0.0,2.3335,-0.0002,Near-Gaussian
1,0.014225,0.016443,0.998208,1.7e-05,0.5127,-0.0187,Near-Gaussian
4,0.010714,1e-06,0.997689,1e-06,0.3797,-0.0124,Near-Gaussian
5,0.012875,0.443966,0.99853,0.000394,0.3414,0.018,Near-Gaussian
6,0.014451,0.035938,0.997684,1e-06,0.5125,0.0383,Near-Gaussian
8,0.028642,0.003599,0.979077,0.0,2.5464,-0.0168,Near-Gaussian
9,0.015712,0.346269,0.998711,0.007569,0.194,-0.0964,Near-Gaussian
12,0.034549,2e-06,0.956566,0.0,5.041,0.3305,Non-Gaussian
14,0.00776,0.311634,0.999444,0.140849,0.188,-0.0192,Gaussian
16,0.007077,0.994068,0.999759,0.972726,0.0072,-0.0153,Gaussian
17,0.0139,0.079558,0.990823,0.0,1.0378,-0.08,Near-Gaussian
2,0.050148,0.0,0.995042,0.0,2.6249,-0.0373,Near-Gaussian
5,0.030518,0.0,0.977333,0.0,8.3594,-0.3617,Non-Gaussian
6,0.054983,0.0,0.989323,0.0,9.3932,-0.0533,Non-Gaussian
8,0.012265,0.028699,0.999616,0.459339,1.0277,-0.1185,Near-Gaussian
9,0.014631,0.168097,0.995785,0.0,0.8299,-0.0121,Near-Gaussian
10,0.045342,0.0,0.913921,0.0,8.6567,-0.07,Non-Gaussian
12,0.015294,0.014162,0.997961,4e-06,0.6235,-0.005,Near-Gaussian
13,0.172393,0.0,0.990053,0.0,10.2752,-0.0732,Heavy-tailed / Impulsive
14,0.014879,0.057325,0.996568,0.0,0.5298,-0.0231,Near-Gaussian
18,0.009688,0.037704,0.998057,7e-06,0.3056,-0.0479,Near-Gaussian
9,0.104389,0.0,0.998712,0.000521,6.9014,-0.0778,Non-Gaussian
40,0.016675,0.0,0.996409,0.0,0.9749,-0.011,Near-Gaussian
49,0.038186,0.0,0.999157,0.015124,2.0337,0.0689,Near-Gaussian
